Overheidsinstantie,Titel,Locatie,Wettelijke grondslag,Aantal beschikkingen,Soorten beschikkingen,Integraal of register,Periode,Aanwezige metadata (filters),Laatste update,Type
"ministerie van Sociale Zaken en Werkgelegenheid",Verleende beschikkingen,https://www.uitvoeringvanbeleidszw.nl/documenten?trefwoord=&startdatum=&einddatum=&subsidie-en-regeling=Alle+subsidies+en+regelingen&type=Verleende+beschikking,Wet open overheid,327,subsidie,integraal,2014-2018,"Periode, onderwerp, type",2026-02-07,ministerie
ministerie van Algemene Zaken,Beschikking - Besluit,https://open.overheid.nl/,Wet open overheid,9,benoeming,integraal,2025,"thema, datum beschikbaar",2026-02-17,ministerie
ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Beschikking - Besluit,https://open.overheid.nl/,Wet open overheid,1,benoeming,integraal,2025,"thema, datum beschikbaar",2026-02-17,ministerie
ministerie van Defensie,Vergunning,https://open.overheid.nl/,Wet open overheid,1,vergunning,integraal,2021,"thema, datum beschikbaar",2026-02-17,ministerie
ministerie van Defensie,Beschikking - Besluit,https://open.overheid.nl/,Wet open overheid,1,benoeming,integraal,2025,"thema, datum beschikbaar",2026-02-17,ministerie
ministerie van Economische Zaken,Vergunning,https://open.overheid.nl/,Wet open overheid,77,vergunning,integraal,2010-2015,"thema, datum beschikbaar",2026-02-17,ministerie
ministerie van Economische Zaken,Beschikking - Besluit,https://open.overheid.nl/,Algemene Groepsvrijstellingsverordening,35,subsidie,integraal,2024-2025,"thema, datum beschikbaar",2026-02-17,ministerie
"ministerie van Financiën",Beschikking - Besluit,https://open.overheid.nl/,Wet open overheid,1,goedkeuring,integraal,2025,"thema, datum beschikbaar",2026-02-17,ministerie
ministerie van Infrastructuur en Waterstaat,Vergunning,https://open.overheid.nl/,Wet open overheid,17,vergunning,integraal,2011-2020,"thema, datum beschikbaar",2026-02-17,ministerie
ministerie van Infrastructuur en Waterstaat,Beschikking - Besluit,https://open.overheid.nl/,Algemene Groepsvrijstellingsverordening,3,subsidie,integraal,2025,"thema, datum beschikbaar",2026-02-17,ministerie
ministerie van Klimaat en Groene Groei,Beschikking - Besluit,https://open.overheid.nl/,Algemene Groepsvrijstellingsverordening,6,subsidie,integraal,2025,"thema, datum beschikbaar",2026-02-17,ministerie
